AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 1.0
The following data are unscreened and may not have final calibration applied.
Contact: PI=Pawan_Gupta; PI Email=pawan.gupta@nasa.gov
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_865,Triplet_Variability_779,Triplet_Variability_675,Triplet_Variability_667,Triplet_Variability_620,Triplet_Variability_560,Triplet_Variability_555,Triplet_Variability_551,Triplet_Variability_532,Triplet_Variability_531,Triplet_Variability_510,Triplet_Variability_500,Triplet_Variability_490,Triplet_Variability_443,Triplet_Variability_440,Triplet_Variability_412,Triplet_Variability_400,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),Triplet_Variability_681,Triplet_Variability_709,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_865nm,Exact_Wavelengths_of_AOD(um)_779nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_667nm,Exact_Wavelengths_of_AOD(um)_620nm,Exact_Wavelengths_of_AOD(um)_560nm,Exact_Wavelengths_of_AOD(um)_555nm,Exact_Wavelengths_of_AOD(um)_551nm,Exact_Wavelengths_of_AOD(um)_532nm,Exact_Wavelengths_of_AOD(um)_531nm,Exact_Wavelengths_of_AOD(um)_510nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_490nm,Exact_Wavelengths_of_AOD(um)_443nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_412nm,Exact_Wavelengths_of_AOD(um)_400nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,Exact_Wavelengths_of_AOD(um)_681nm,Exact_Wavelengths_of_AOD(um)_709nm,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty
UCSB,04:03:2026,00:02:20,63,63.001620,0.025245,0.056018,0.058345,-999.000000,-999.000000,0.061275,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.075043,-999.000000,-999.000000,0.083890,-999.000000,-999.000000,0.095523,0.101731,1.401412,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000767,0.001034,0.001026,-999.000000,-999.000000,0.000948,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000362,-999.000000,-999.000000,0.000381,-999.000000,-999.000000,0.000967,0.001710,0.001771,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.542228,0.872151,0.723004,0.462522,0.753902,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,68.074259,2.662604,21.700000,318.169172,0.172250,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
UCSB,04:03:2026,00:06:23,63,63.004433,0.024752,0.054887,0.057451,-999.000000,-999.000000,0.060424,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.074074,-999.000000,-999.000000,0.083218,-999.000000,-999.000000,0.095450,0.101633,1.413854,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000370,0.000415,0.000217,-999.000000,-999.000000,0.000441,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000838,-999.000000,-999.000000,0.000298,-999.000000,-999.000000,0.000550,0.001859,0.008626,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.551361,0.916460,0.735003,0.466928,0.782541,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,68.830959,2.751882,21.700000,318.170828,0.172251,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
UCSB,04:03:2026,00:12:20,63,63.008565,0.023200,0.051944,0.054855,-999.000000,-999.000000,0.057663,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.071454,-999.000000,-999.000000,0.080257,-999.000000,-999.000000,0.092068,0.098665,1.417655,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000797,0.000632,0.001121,-999.000000,-999.000000,0.001081,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000898,-999.000000,-999.000000,0.000952,-999.000000,-999.000000,0.002332,0.002499,0.001028,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.569236,0.916305,0.761633,0.485986,0.806674,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,69.950094,2.896314,21.300000,318.173260,0.172252,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
UCSB,04:03:2026,00:14:21,63,63.009965,0.023327,0.052022,0.054718,-999.000000,-999.000000,0.058100,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.071700,-999.000000,-999.000000,0.080727,-999.000000,-999.000000,0.092053,0.098762,1.415191,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000477,0.000484,0.000471,-999.000000,-999.000000,0.000338,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000562,-999.000000,-999.000000,0.000042,-999.000000,-999.000000,0.000821,0.001253,0.015290,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.577992,0.902504,0.755896,0.495961,0.786605,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,70.331330,2.949266,21.400000,318.174085,0.172252,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
UCSB,04:03:2026,00:23:36,63,63.016389,0.023268,0.050171,0.052651,-999.000000,-999.000000,0.055651,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.069170,-999.000000,-999.000000,0.077823,-999.000000,-999.000000,0.089294,0.096306,1.427657,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000892,0.001053,0.001161,-999.000000,-999.000000,0.001066,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000855,-999.000000,-999.000000,0.001677,-999.000000,-999.000000,0.000988,0.001066,0.021149,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.583668,0.922971,0.772469,0.501243,0.830761,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,72.091904,3.222859,21.000000,318.177866,0.172254,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
UCSB,04:03:2026,00:33:16,63,63.023102,0.024433,0.049899,0.052364,-999.000000,-999.000000,0.055642,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.069526,-999.000000,-999.000000,0.078591,-999.000000,-999.000000,0.090012,0.097969,1.451585,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000206,0.000158,0.000016,-999.000000,-999.000000,0.000776,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000323,-999.000000,-999.000000,0.000774,-999.000000,-999.000000,0.000314,0.000536,0.012439,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.605126,0.932765,0.794766,0.520387,0.856682,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,73.950709,3.575893,20.400000,318.181818,0.172256,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
UCSB,04:03:2026,00:35:19,63,63.024525,0.024534,0.049099,0.051240,-999.000000,-999.000000,0.054710,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.068427,-999.000000,-999.000000,0.077095,-999.000000,-999.000000,0.089028,0.096744,1.448110,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001138,0.000807,0.000555,-999.000000,-999.000000,0.000587,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000437,-999.000000,-999.000000,0.000114,-999.000000,-999.000000,0.000848,0.000870,0.007192,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.609548,0.951631,0.790887,0.530593,0.884074,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,74.347162,3.661800,20.400000,318.182656,0.172256,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
UCSB,04:03:2026,00:37:20,63,63.025926,0.024693,0.049281,0.051652,-999.000000,-999.000000,0.055335,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.069329,-999.000000,-999.000000,0.078480,-999.000000,-999.000000,0.090518,0.098560,1.457662,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000598,0.001896,0.001064,-999.000000,-999.000000,0.001272,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001252,-999.000000,-999.000000,0.001880,-999.000000,-999.000000,0.001099,0.000297,0.005903,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.622199,0.963737,0.804267,0.539671,0.886521,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,74.737890,3.750715,20.500000,318.183481,0.172256,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
UCSB,04:03:2026,00:39:21,63,63.027326,0.024513,0.049106,0.051254,-999.000000,-999.000000,0.054923,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.069304,-999.000000,-999.000000,0.078188,-999.000000,-999.000000,0.090467,0.098632,1.466735,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000437,0.000226,0.000381,-999.000000,-999.000000,0.000611,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000638,-999.000000,-999.000000,0.000686,-999.000000,-999.000000,0.000799,0.000967,0.013701,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.631271,0.963581,0.815688,0.553353,0.903987,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,75.129312,3.844336,20.600000,318.184305,0.172257,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
UCSB,04:03:2026,00:41:21,63,63.028715,0.024614,0.048817,0.051040,-999.000000,-999.000000,0.054734,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.069137,-999.000000,-999.000000,0.078274,-999.000000,-999.000000,0.090339,0.098871,1.465231,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000322,0.000508,0.000459,-999.000000,-999.000000,0.000841,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000919,-999.000000,-999.000000,0.000777,-999.000000,-999.000000,0.000700,0.000975,0.014424,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.637931,0.966660,0.825041,0.556561,0.907839,-999.000000,lev10,1170,UCSB,34.415428,-119.845360,33.000000,75.518162,3.942190,20.600000,318.185123,0.172257,04:03:2026,9,1.640100,1.019700,0.869100,-999.,-999.,0.675500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500200,-999.,-999.,0.440200,-999.,-999.,0.379300,0.340000,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
