Filter_name,LamEff,A_over_E_B_V_SandF,A_SandF,A_over_E_B_V_SFD,A_SFD
CTIO U,0.3734,4.107,0.2,4.968,0.242
CTIO B,0.4309,3.641,0.177,4.325,0.211
CTIO V,0.5517,2.682,0.131,3.24,0.158
CTIO R,0.652,2.119,0.103,2.634,0.128
CTIO I,0.8007,1.516,0.074,1.962,0.096
DSS-II g,0.4621,3.381,0.165,3.907,0.19
DSS-II r,0.6546,2.088,0.102,2.649,0.129
DSS-II i,0.8111,1.487,0.072,1.893,0.092
SDSS u,0.3587,4.239,0.207,5.155,0.251
SDSS g,0.4717,3.303,0.161,3.793,0.185
SDSS r,0.6165,2.285,0.111,2.751,0.134
SDSS i,0.7476,1.698,0.083,2.086,0.102
SDSS z,0.8923,1.263,0.062,1.479,0.072
UKIRT J,1.248,0.709,0.035,0.902,0.044
UKIRT H,1.659,0.449,0.022,0.576,0.028
UKIRT K,2.19,0.302,0.015,0.367,0.018
2MASS J,1.23,0.723,0.035,0.937,0.046
2MASS H,1.64,0.46,0.022,0.591,0.029
2MASS Ks,2.16,0.31,0.015,0.382,0.019
IRAC-1,3.52,0.178,0.009,0.22,0.011
IRAC-2,4.46,0.148,0.007,0.183,0.009
IRAC-3,5.66,0.13,0.006,0.162,0.008
IRAC-4,7.68,0.122,0.006,0.151,0.007
WISE-1,3.32,0.189,0.009,0.234,0.011
WISE-2,4.57,0.146,0.007,0.18,0.009
